,0
1674,succesful
1675,succesful
1676,succesful
1677,succesful
1678,failed
1679,failed
1680,succesful
1681,succesful
1682,failed
1683,succesful
1684,succesful
1685,failed
1686,failed
1687,succesful
1688,succesful
1689,succesful
1690,failed
1691,succesful
1692,failed
1693,succesful
1694,succesful
1695,succesful
1696,succesful
1697,succesful
1698,succesful
1699,succesful
1700,failed
1701,succesful
1702,failed
1703,failed
1704,failed
1705,failed
1706,succesful
1707,succesful
1708,succesful
1709,succesful
1710,failed
1711,succesful
1712,failed
1713,succesful
1714,succesful
1715,succesful
1716,succesful
1717,succesful
1718,failed
1719,succesful
1720,failed
1721,succesful
1722,succesful
1723,failed
1724,succesful
1725,succesful
1726,failed
1727,succesful
1728,succesful
1729,succesful
1730,failed
1731,succesful
1732,failed
1733,succesful
1734,succesful
1735,failed
1736,failed
1737,failed
1738,succesful
1739,succesful
1740,failed
1741,failed
1742,succesful
1743,succesful
1744,failed
1745,succesful
1746,succesful
1747,succesful
1748,succesful
1749,succesful
1750,failed
1751,succesful
1752,failed
1753,succesful
1754,failed
1755,failed
1756,failed
1757,succesful
1758,failed
1759,succesful
1760,failed
1761,succesful
1762,failed
1763,failed
1764,succesful
1765,succesful
1766,failed
1767,failed
1768,succesful
1769,failed
1770,succesful
1771,succesful
1772,failed
1773,failed
1774,succesful
1775,succesful
1776,failed
1777,succesful
1778,failed
1779,succesful
1780,succesful
1781,succesful
1782,failed
1783,failed
1784,succesful
1785,succesful
1786,failed
1787,succesful
1788,succesful
1789,failed
1790,succesful
1791,failed
1792,succesful
1793,failed
1794,succesful
1795,succesful
1796,failed
1797,succesful
1798,succesful
1799,succesful
1800,failed
1801,failed
1802,failed
1803,succesful
1804,failed
1805,failed
1806,failed
1807,succesful
1808,succesful
1809,succesful
1810,failed
1811,succesful
1812,succesful
1813,succesful
1814,succesful
1815,failed
1816,failed
1817,succesful
1818,succesful
1819,failed
1820,failed
1821,succesful
1822,succesful
1823,succesful
1824,succesful
1825,failed
1826,failed
1827,succesful
1828,failed
1829,succesful
1830,succesful
1831,failed
1832,succesful
1833,failed
1834,succesful
1835,failed
1836,succesful
1837,succesful
1838,succesful
1839,failed
1840,failed
1841,succesful
1842,succesful
1843,succesful
1844,succesful
1845,succesful
1846,succesful
1847,succesful
1848,succesful
1849,failed
1850,failed
1851,failed
1852,failed
1853,succesful
1854,succesful
1855,failed
1856,succesful
1857,failed
1858,failed
1859,failed
1860,succesful
1861,succesful
1862,succesful
1863,succesful
1864,failed
1865,failed
1866,failed
1867,failed
1868,succesful
1869,failed
1870,failed
1871,succesful
1872,failed
1873,failed
1874,succesful
1875,failed
1876,failed
1877,succesful
1878,succesful
1879,succesful
1880,succesful
1881,succesful
1882,succesful
1883,failed
1884,succesful
1885,succesful
1886,failed
1887,succesful
1888,failed
1889,succesful
1890,failed
1891,succesful
1892,succesful
1893,failed
1894,failed
1895,failed
1896,succesful
1897,succesful
1898,succesful
1899,succesful
1900,succesful
1901,failed
1902,succesful
1903,succesful
1904,failed
1905,succesful
1906,succesful
1907,succesful
1908,succesful
1909,succesful
1910,succesful
1911,succesful
1912,failed
1913,failed
1914,succesful
1915,failed
1916,failed
1917,failed
1918,failed
1919,succesful
1920,succesful
1921,succesful
1922,failed
1923,succesful
1924,failed
1925,failed
1926,succesful
1927,succesful
1928,failed
1929,succesful
1930,failed
1931,succesful
1932,succesful
1933,succesful
1934,succesful
1935,failed
1936,succesful
1937,failed
1938,failed
1939,failed
1940,failed
1941,succesful
1942,succesful
1943,succesful
1944,succesful
1945,failed
1946,failed
1947,succesful
1948,failed
1949,succesful
1950,succesful
1951,succesful
1952,failed
1953,failed
1954,succesful
1955,succesful
1956,succesful
1957,succesful
1958,succesful
1959,succesful
1960,succesful
1961,succesful
1962,succesful
1963,failed
1964,succesful
1965,succesful
1966,failed
1967,succesful
1968,succesful
1969,failed
1970,succesful
1971,succesful
1972,failed
1973,succesful
1974,failed
1975,failed
1976,succesful
1977,succesful
1978,failed
1979,succesful
1980,failed
1981,failed
1982,succesful
1983,failed
1984,succesful
1985,succesful
1986,succesful
1987,succesful
1988,failed
1989,failed
1990,succesful
1991,succesful
1992,succesful
1993,succesful
1994,succesful
1995,failed
1996,succesful
1997,succesful
1998,succesful
1999,failed
2000,succesful
2001,failed
2002,succesful
2003,succesful
2004,succesful
2005,failed
2006,failed
2007,succesful
2008,failed
2009,failed
2010,succesful
2011,succesful
2012,succesful
2013,succesful
2014,failed
2015,failed
2016,succesful
2017,failed
2018,succesful
2019,succesful
2020,succesful
2021,failed
2022,failed
2023,failed
2024,succesful
2025,failed
2026,succesful
2027,failed
2028,failed
2029,succesful
2030,succesful
2031,succesful
2032,succesful
2033,failed
2034,failed
2035,succesful
2036,succesful
2037,succesful
2038,succesful
2039,succesful
2040,failed
2041,succesful
2042,failed
2043,succesful
2044,failed
2045,succesful
2046,failed
2047,succesful
2048,succesful
2049,succesful
2050,succesful
2051,failed
2052,succesful
2053,succesful
2054,failed
2055,failed
2056,failed
2057,succesful
2058,succesful
2059,succesful
2060,succesful
2061,succesful
2062,succesful
2063,succesful
2064,succesful
2065,succesful
2066,succesful
2067,failed
2068,failed
2069,succesful
2070,failed
2071,failed
2072,failed
2073,failed
2074,failed
2075,succesful
2076,failed
2077,succesful
2078,succesful
2079,succesful
2080,failed
2081,succesful
2082,failed
2083,succesful
2084,failed
2085,failed
2086,failed
2087,succesful
2088,succesful
2089,succesful
2090,failed
2091,succesful
2092,succesful
2093,succesful
2094,succesful
2095,failed
2096,succesful
2097,succesful
2098,succesful
2099,succesful
